emp_no,first_name,last_name,birth_date,from_date,to_date,title
11065,Filipe,Rathonyi,1957-06-12,1985-11-14,9999-01-01,Engineer
11068,Honglan,Harnett,1956-03-03,1989-06-29,9999-01-01,Senior Staff
11080,Sanjai,Puppe,1956-12-27,1988-07-04,9999-01-01,Engineer
11099,Woody,Spataro,1958-07-12,1985-12-31,9999-01-01,Staff
11103,Sanjai,Penttonen,1960-12-10,1989-03-15,9999-01-01,Engineer
11109,Chinho,Stamatiou,1964-11-05,1985-03-29,9999-01-01,Senior Staff
11123,Herb,Cooley,1956-10-21,1988-03-28,9999-01-01,Senior Staff
11128,Shunichi,Pusterhofer,1956-06-16,1988-10-04,9999-01-01,Senior Engineer
11149,Domenico,Imataki,1964-06-28,1987-08-26,9999-01-01,Senior Staff
11150,Geraldo,Garigliano,1956-05-13,1989-05-01,9999-01-01,Senior Staff
11151,Gor,Reinhard,1958-06-27,1987-06-16,9999-01-01,Senior Engineer
11161,Ung,Ashish,1957-01-30,1988-05-31,9999-01-01,Senior Engineer
11164,Alain,Limongiello,1961-01-18,1989-12-25,9999-01-01,Senior Staff
11184,Masoud,Theuretzbacher,1958-04-01,1985-04-27,9999-01-01,Senior Staff
11188,Kazuyasu,Kushner,1956-03-13,1987-04-23,9999-01-01,Senior Engineer
11194,Giap,Tempesti,1957-10-18,1987-10-25,9999-01-01,Senior Engineer
11198,Leif,Gini,1963-05-12,1988-02-07,9999-01-01,Senior Staff
11210,Kamakshi,Decaestecker,1957-09-27,1989-08-25,9999-01-01,Senior Staff
11212,Teruyuki,Peternell,1961-08-10,1985-10-16,9999-01-01,Senior Staff
11226,Margareta,Akiyama,1961-05-18,1989-05-09,9999-01-01,Senior Staff
11227,Dayanand,Figueira,1956-01-31,1985-03-08,9999-01-01,Staff
11231,Marit,Narwekar,1959-01-28,1988-04-07,9999-01-01,Senior Staff
11239,Gurbir,Kenevan,1957-02-27,1987-09-08,9999-01-01,Senior Staff
11244,Navin,Restivo,1959-08-20,1985-06-08,9999-01-01,Staff
11259,Amalendu,Gronowski,1960-01-13,1986-12-26,9999-01-01,Senior Staff
11261,Claudi,Demri,1963-09-05,1987-12-06,9999-01-01,Engineer
11263,Kwangjo,Fiebach,1961-09-09,1989-08-15,9999-01-01,Senior Engineer
11264,Uma,Oehlmann,1964-03-15,1986-10-09,9999-01-01,Senior Engineer
11270,Gina,Falster,1962-10-10,1989-09-04,9999-01-01,Staff
11273,Make,Guting,1961-09-12,1987-10-07,9999-01-01,Senior Staff
11276,Yunming,Cappelletti,1957-03-10,1988-03-12,9999-01-01,Senior Staff
11278,Sumali,Juneja,1956-12-15,1986-04-22,9999-01-01,Senior Staff
11283,Shmuel,Codenie,1964-02-25,1987-06-30,9999-01-01,Senior Staff
11284,Bernice,Felcyn,1961-03-25,1985-04-25,9999-01-01,Engineer
11286,Joydip,Gini,1964-12-04,1988-02-16,9999-01-01,Senior Staff
11287,Sreenivas,Farrag,1963-08-16,1987-08-12,9999-01-01,Senior Staff
11299,Christfried,Tokunaga,1961-02-06,1989-11-24,9999-01-01,Senior Engineer
11303,Jaewoo,Usery,1957-04-27,1986-11-05,9999-01-01,Senior Engineer
11313,Paraskevi,Kusalik,1962-06-21,1986-02-28,9999-01-01,Senior Staff
11318,Gopalakrishnan,Unno,1964-09-09,1986-01-25,9999-01-01,Senior Staff
11328,Xiong,Ferriere,1958-10-13,1986-08-08,9999-01-01,Senior Staff
11329,Limsoon,McConalogue,1956-03-01,1987-05-02,9999-01-01,Senior Staff
11331,Kasturi,Fraisse,1959-10-15,1987-03-03,9999-01-01,Senior Staff
11332,Gunilla,Coney,1956-02-26,1989-09-27,9999-01-01,Senior Engineer
11333,Heon,Slobodova,1960-06-19,1988-02-14,9999-01-01,Assistant Engineer
11350,Zito,Moehrke,1956-10-22,1985-07-21,9999-01-01,Senior Engineer
11353,Utpal,Berztiss,1960-01-30,1987-11-09,9999-01-01,Staff
11354,Tianruo,Stasinski,1957-11-01,1987-06-23,9999-01-01,Senior Staff
11356,Hercules,Gerlach,1959-12-31,1988-12-04,9999-01-01,Engineer
11359,Subhrajyoti,Jayawardene,1958-07-04,1989-08-14,9999-01-01,Senior Staff
11362,Tooru,Hockney,1963-11-24,1987-10-29,9999-01-01,Engineer
11363,Jenwei,Milicia,1962-04-27,1986-03-16,9999-01-01,Senior Staff
11370,Marek,Erie,1956-12-21,1989-08-22,9999-01-01,Senior Engineer
11371,Tadahiko,Masamoto,1956-05-17,1988-12-25,9999-01-01,Engineer
11375,Dmitri,Noriega,1960-08-13,1985-05-27,9999-01-01,Senior Staff
11378,Masamitsu,Katiyar,1959-07-30,1988-12-17,9999-01-01,Engineer
11388,Rosine,Gerteisen,1958-08-03,1985-12-20,9999-01-01,Engineer
11394,Masadi,Uhrik,1964-01-02,1988-12-20,9999-01-01,Senior Staff
11395,Nectarios,Chleq,1959-03-04,1987-06-20,9999-01-01,Senior Staff
11402,Freyja,Brizzi,1957-02-09,1985-03-10,9999-01-01,Staff
11416,Zijian,Oxman,1957-12-18,1987-09-21,9999-01-01,Senior Staff
11429,Nagui,Kaminger,1957-02-22,1986-10-16,9999-01-01,Senior Staff
11435,Utpal,Lichtman,1962-05-29,1986-10-15,9999-01-01,Staff
11442,Leucio,Rindone,1956-05-01,1987-06-22,9999-01-01,Senior Engineer
11443,Szabolcs,Nivat,1962-05-30,1989-08-15,9999-01-01,Senior Staff
11447,Rasiah,Billawala,1961-07-23,1985-09-18,9999-01-01,Senior Engineer
11458,Stevo,Chenoweth,1958-08-09,1985-10-06,9999-01-01,Senior Staff
11466,Naftali,Koshino,1964-01-04,1989-07-02,9999-01-01,Engineer
11486,Itzchak,Ramaiah,1963-03-05,1985-05-31,9999-01-01,Staff
11488,Houman,Veldwijk,1962-11-18,1987-08-25,9999-01-01,Senior Engineer
11491,Maha,Matteis,1960-12-13,1988-11-08,9999-01-01,Senior Engineer
11495,Shin,Barriga,1964-01-02,1989-09-13,9999-01-01,Staff
11499,Peternela,Chartres,1957-07-02,1989-03-08,9999-01-01,Staff
11508,Ronnie,Ritcey,1956-05-03,1988-04-12,9999-01-01,Technique Leader
11512,Nidapan,Hagimont,1962-09-24,1987-09-01,9999-01-01,Engineer
11538,Dekang,Bage,1958-09-29,1987-03-24,9999-01-01,Engineer
11542,Maia,Kawashima,1960-05-11,1985-06-20,9999-01-01,Staff
11543,Takahiro,Krohm,1959-07-21,1987-04-01,9999-01-01,Engineer
11545,Bartek,Lieblein,1962-08-01,1986-09-19,9999-01-01,Senior Engineer
11546,Duro,Vuskovic,1964-12-22,1987-06-30,9999-01-01,Senior Staff
11551,Subhrajyoti,Gonthier,1962-08-28,1986-05-09,9999-01-01,Senior Engineer
11561,Akeno,McAffer,1960-02-25,1989-12-26,9999-01-01,Senior Staff
11563,Teruyuki,Tetzlaff,1958-11-05,1988-12-10,9999-01-01,Senior Staff
11565,Yoshinari,Sankaranarayanan,1963-09-02,1988-02-03,9999-01-01,Engineer
11569,Kasidit,Geffroy,1959-08-29,1988-11-23,9999-01-01,Engineer
11570,Mayumi,Uchoa,1960-08-12,1988-10-07,9999-01-01,Staff
11580,Chanjung,Tanemo,1956-04-05,1985-07-06,9999-01-01,Senior Engineer
11584,Pradeep,Waymire,1956-03-20,1985-06-20,9999-01-01,Senior Engineer
11591,Kiyomitsu,Lindqvist,1961-10-03,1987-10-18,9999-01-01,Staff
11608,Jagoda,Jonsson,1961-04-17,1987-04-19,9999-01-01,Technique Leader
11610,Eirik,Sidhu,1962-07-17,1985-10-18,9999-01-01,Engineer
11621,Ottavia,Baaleh,1956-04-23,1986-11-17,9999-01-01,Staff
11635,Nalini,Mahnke,1964-07-13,1989-10-13,9999-01-01,Engineer
11639,Khatoun,Herath,1964-05-02,1987-02-18,9999-01-01,Engineer
11645,Olivera,Setia,1957-04-21,1985-06-10,9999-01-01,Assistant Engineer
11657,Gou,Bazzichi,1958-04-01,1989-03-19,9999-01-01,Engineer
11663,Maria,Trumbly,1957-11-08,1987-09-11,9999-01-01,Staff
11670,Evgueni,Kroon,1964-09-25,1985-05-17,9999-01-01,Senior Staff
11671,Pranjal,Babu,1957-08-18,1986-12-31,9999-01-01,Senior Staff
11672,Munir,Businaro,1959-04-28,1989-07-29,9999-01-01,Senior Staff
11674,Dzung,Gyimothy,1959-10-29,1987-12-20,9999-01-01,Senior Staff
11678,Zhaofang,Bernick,1957-03-27,1987-09-20,9999-01-01,Engineer
11682,Dante,Zumaque,1963-03-13,1986-11-27,9999-01-01,Senior Staff
11689,Jixiang,Thisen,1957-10-23,1989-11-08,9999-01-01,Staff
11691,Pragnesh,Borovoy,1959-01-08,1989-04-04,9999-01-01,Engineer
11692,Rance,Provine,1956-07-02,1989-04-20,9999-01-01,Engineer
11694,Stamatina,Ozery,1962-08-26,1989-03-31,9999-01-01,Senior Staff
11703,Xuedong,Chiodo,1958-03-15,1989-07-23,9999-01-01,Senior Staff
11709,Insup,Wossner,1959-04-11,1985-11-09,9999-01-01,Senior Engineer
11716,Anneli,Leijenhorst,1962-01-24,1989-05-09,9999-01-01,Senior Engineer
11728,Serge,Makrucki,1961-09-29,1989-12-12,9999-01-01,Senior Staff
11741,Valeri,Vigier,1962-05-27,1989-02-04,9999-01-01,Senior Staff
11757,Jackson,Meriste,1964-05-22,1987-04-07,9999-01-01,Senior Engineer
11760,Along,Miake,1959-03-30,1985-09-15,9999-01-01,Engineer
11766,Nimmagadda,Berztiss,1964-10-10,1987-10-27,9999-01-01,Senior Engineer
11767,Ortrud,Kusakabe,1960-01-24,1986-12-19,9999-01-01,Assistant Engineer
11775,Sajjad,Xiaoshan,1963-06-16,1988-11-15,9999-01-01,Engineer
11789,Udi,Khasidashvili,1962-05-12,1989-08-18,9999-01-01,Senior Staff
11790,Huai,Henseler,1960-06-12,1988-03-09,9999-01-01,Senior Engineer
11792,Gina,Aumann,1959-10-27,1987-05-29,9999-01-01,Senior Engineer
11796,Sachem,Egerstedt,1963-05-24,1989-01-23,9999-01-01,Senior Staff
11798,Kwan,Quaggetto,1964-08-14,1987-12-10,9999-01-01,Senior Staff
11802,Katsuo,Benzmuller,1956-01-18,1988-04-12,9999-01-01,Senior Engineer
11804,Bikash,Rusterholz,1958-02-28,1986-09-16,9999-01-01,Senior Engineer
11808,Morrie,Rosiles,1962-09-03,1986-05-17,9999-01-01,Senior Engineer
11809,Anneli,Bennis,1957-09-17,1987-03-02,9999-01-01,Senior Engineer
11812,Taizo,Merey,1956-10-13,1987-09-30,9999-01-01,Senior Staff
11818,Dmitry,Matteis,1960-07-08,1987-08-14,9999-01-01,Senior Engineer
11819,Shigeo,Lampe,1958-12-14,1987-07-07,9999-01-01,Engineer
11825,Theirry,Kuzuoka,1961-12-12,1987-05-02,9999-01-01,Senior Engineer
11826,Carrsten,Rotem,1964-02-20,1988-07-06,9999-01-01,Senior Engineer
11828,Mikhail,Paciorek,1958-06-15,1985-06-12,9999-01-01,Senior Staff
11840,Jayson,Hofman,1962-07-27,1986-12-21,9999-01-01,Staff
11856,Gao,Alpin,1962-12-18,1989-05-23,9999-01-01,Senior Engineer
11863,Stella,Peng,1962-07-03,1988-12-16,9999-01-01,Senior Engineer
11905,Sadegh,Vural,1956-01-11,1989-05-12,9999-01-01,Senior Staff
11908,Candida,Iisaku,1957-09-13,1985-10-16,9999-01-01,Senior Staff
11914,Kristina,Lovengreen,1957-04-28,1988-06-02,9999-01-01,Senior Engineer
11918,Mayuri,Pollacia,1956-02-18,1987-03-19,9999-01-01,Senior Staff
11921,Yaghout,Benner,1958-10-19,1986-03-04,9999-01-01,Senior Engineer
11927,Mana,Aingworth,1956-10-27,1986-04-26,9999-01-01,Senior Staff
11929,Kendra,Beeson,1959-05-18,1989-04-12,9999-01-01,Technique Leader
11942,Uri,Scharstein,1957-08-22,1985-04-06,9999-01-01,Senior Engineer
11960,Moss,Flasterstein,1960-01-15,1988-07-28,9999-01-01,Senior Staff
11962,Niranjan,Erde,1959-03-17,1988-10-30,9999-01-01,Senior Staff
11966,Poornachandra,Rotem,1960-10-22,1987-01-20,9999-01-01,Staff
11971,Dhritiman,Cooke,1957-10-08,1987-11-11,9999-01-01,Engineer
11973,Aamod,Erdmenger,1958-02-10,1989-04-13,9999-01-01,Staff
11974,Vojin,Sabnani,1963-10-13,1989-07-23,9999-01-01,Senior Staff
11976,Jacqueline,Barvinok,1960-01-11,1986-10-08,9999-01-01,Engineer
11982,Marsha,Hasenauer,1957-01-21,1985-12-17,9999-01-01,Senior Engineer
11985,Baocai,Wiegley,1959-10-12,1985-12-18,9999-01-01,Senior Engineer
11990,Chanjung,Matheson,1964-11-24,1988-09-05,9999-01-01,Engineer
11991,Qunsheng,Esteva,1961-10-15,1985-09-29,9999-01-01,Senior Staff
12000,Claudi,Angelov,1957-11-09,1989-12-11,9999-01-01,Senior Engineer
12010,Otmar,Thebaut,1956-09-26,1989-09-02,9999-01-01,Technique Leader
12014,Apostol,Lunt,1962-04-30,1988-10-11,9999-01-01,Senior Engineer
12019,Mads,Ossenbruggen,1962-09-05,1986-02-17,9999-01-01,Senior Staff
12020,Hitomi,Uludag,1956-06-05,1988-08-09,9999-01-01,Senior Staff
12029,Jaana,Nourani,1958-06-07,1986-07-10,9999-01-01,Engineer
12031,Achilleas,Vendrig,1962-01-11,1987-02-10,9999-01-01,Senior Engineer
12032,Oguz,Etalle,1957-12-07,1988-03-23,9999-01-01,Senior Engineer
12038,Aruna,Businaro,1956-04-13,1987-01-09,9999-01-01,Senior Engineer
12039,Kazuhide,Junet,1964-12-03,1988-04-04,9999-01-01,Senior Staff
12048,Rosine,Schwabacher,1959-09-23,1985-05-25,9999-01-01,Engineer
12051,Youpyo,Suermann,1956-04-17,1985-09-28,9999-01-01,Engineer
12056,Nirmal,Genther,1962-09-27,1988-06-02,9999-01-01,Senior Engineer
